county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,496845,509218,497107,496089,515855,517140,510931,507160,503571,499640,493427,507062,514780,508114,513938,522785,533183,547673,1656204,10850722
Alameda County,19035,19343,19508,19412,20293,19776,19478,19345,19111,18992,18309,18588,18492,17837,18073,18328,18532,19157,59591,401200
Alpine County,5,5,6,13,18,21,17,13,16,19,15,14,14,14,15,12,13,15,25,270
Amador County,273,270,282,271,270,282,302,333,330,314,322,317,379,343,349,361,398,394,1050,6840
Butte County,2399,2425,2409,2431,2460,2551,2525,2494,2525,2491,2447,2554,2569,2529,2501,2606,2751,2813,13190,58670
Calaveras County,354,337,338,362,395,429,418,411,429,451,430,494,512,511,573,593,611,647,1332,9627
Colusa County,298,334,319,342,392,367,369,353,343,316,323,345,335,319,332,303,334,386,930,7040
Contra Costa County,11930,12833,13157,13282,13997,14598,14423,14509,14906,14761,14739,15102,15119,14924,14954,15202,15396,15499,40091,299422
Del Norte County,320,341,311,329,344,392,344,309,309,295,323,338,342,284,337,373,343,363,974,6971
El Dorado County,1602,1663,1620,1779,1912,2052,2163,2162,2243,2295,2277,2303,2470,2421,2443,2534,2535,2653,6273,45400
Fresno County,15844,16331,15700,15420,16286,16107,15644,15422,15263,14971,14562,14792,15097,14862,14859,14990,15156,15500,44574,321380
Glenn County,366,420,427,425,439,410,458,426,388,401,406,430,419,415,440,454,456,465,1105,8750
Humboldt County,1438,1496,1460,1442,1503,1592,1535,1479,1434,1361,1463,1470,1366,1438,1454,1457,1415,1565,7365,33733
Imperial County,2976,3062,2751,2787,2791,2730,2705,2801,2737,2839,2665,2744,2899,2829,2835,2897,2890,2904,8564,59406
Inyo County,227,194,217,221,206,193,215,209,202,196,201,190,213,221,208,227,255,224,605,4424
Kern County,14123,14461,14757,14599,14917,14894,14695,14229,13947,13651,13417,13802,13863,13627,13674,13751,13893,14390,40017,294707
Kings County,2376,2457,2355,2467,2530,2552,2422,2315,2277,2179,2157,2229,2221,2171,2261,2220,2169,2196,6662,48216
Lake County,725,750,728,704,709,713,736,718,700,699,715,685,746,723,741,772,783,822,2028,15197
Lassen County,306,290,326,327,296,299,302,313,299,313,291,294,331,346,363,366,354,393,1276,7085
Los Angeles County,128892,131134,126466,125466,129652,129019,126486,125783,124897,124125,123741,128199,131587,130265,133234,136348,141098,145234,438813,2780439
Madera County,2359,2461,2321,2371,2464,2477,2481,2429,2338,2251,2368,2338,2342,2334,2300,2421,2362,2438,6608,49463
Marin County,2352,2415,2630,2795,3069,3089,3091,3179,3211,3277,3110,3143,3085,2918,2833,2864,2870,2905,7271,60107
Mariposa County,139,146,151,161,153,156,160,178,144,162,179,156,193,169,206,208,206,203,500,3570
Mendocino County,1131,972,1084,1062,1070,1040,1091,1044,1056,1063,1028,1041,1071,1109,1066,1056,1080,1159,2945,22168
Merced County,4291,4311,4340,4251,4436,4674,4533,4472,4452,4419,4345,4481,4507,4355,4375,4371,4632,4542,13983,93770
Modoc County,73,94,100,101,96,103,104,97,105,116,103,115,114,102,132,114,146,143,302,2260
Mono County,144,146,164,161,188,171,173,169,178,147,161,159,148,144,156,167,159,149,514,3398
Monterey County,6765,6863,6556,6504,6803,6826,6484,6517,6311,6047,6043,5917,5896,5716,5749,5750,5890,6152,20044,132833
Napa County,1547,1542,1579,1626,1631,1673,1754,1773,1730,1738,1689,1780,1765,1808,1879,1884,1830,1892,5536,36656
Nevada County,775,773,850,899,908,932,943,958,970,976,995,1020,1094,1145,1133,1173,1216,1262,2949,20971
Orange County,37867,38233,37728,37495,39673,39894,39725,39989,39996,40235,39616,41368,42218,41492,42102,43208,43553,44867,129252,858511
Placer County,3692,4046,4091,4186,4452,4526,4710,4865,4860,4911,4886,5033,5132,5152,5140,5184,5190,5372,12583,98011
Plumas County,154,163,185,176,195,205,156,203,200,214,160,187,191,183,202,197,210,216,687,4084
Riverside County,29963,31479,31499,32214,33878,34416,34036,33790,33928,33759,33557,34993,35730,35638,35863,36250,36764,37568,104455,719780
Sacramento County,19491,20160,19706,19645,20480,20648,20536,20165,19726,19507,19374,19624,19761,19626,19956,20153,20605,20905,55783,415851
San Benito County,709,794,817,824,855,872,891,868,849,883,858,924,927,936,963,927,960,947,2505,18309
San Bernardino County,29972,31444,30765,31125,32779,32546,32392,31645,31558,31501,31269,32172,33184,33002,33321,34243,34777,35840,100627,684162
San Diego County,43813,43945,40449,39635,40882,40803,40211,40002,39236,38664,38141,38829,39557,38952,39489,40032,41072,42435,144825,870972
San Francisco County,8925,8403,6938,6733,6626,6385,6067,5999,5853,5658,5270,5513,5509,5221,5208,5477,5515,5955,22072,133327
San Joaquin County,10049,10735,10723,10558,11099,11386,11278,11182,11001,10910,10900,11246,11258,11179,11311,11304,11488,11681,31713,231001
San Luis Obispo County,2617,2668,2795,2586,2749,2880,2777,2861,2798,2803,2687,2816,2814,2845,2851,2951,3020,3246,21068,71832
