"County","Total","Women who had a birth in the past 12 months:","Women who had a birth in the past 12 months: 15 to 19 years old","Women who had a birth in the past 12 months: 20 to 24 years old","Women who had a birth in the past 12 months: 25 to 29 years old","Women who had a birth in the past 12 months: 30 to 34 years old","Women who had a birth in the past 12 months: 35 to 39 years old","Women who had a birth in the past 12 months: 40 to 44 years old","Women who had a birth in the past 12 months: 45 to 50 years old","Women who did not have a birth in the past 12 months:","Women who did not have a birth in the past 12 months: 15 to 19 years old","Women who did not have a birth in the past 12 months: 20 to 24 years old","Women who did not have a birth in the past 12 months: 25 to 29 years old","Women who did not have a birth in the past 12 months: 30 to 34 years old","Women who did not have a birth in the past 12 months: 35 to 39 years old","Women who did not have a birth in the past 12 months: 40 to 44 years old","Women who did not have a birth in the past 12 months: 45 to 50 years old"
"Alameda County, California","431,228","17,850","80","1,395","2,696","7,699","4,144","994","842","413,378","46,859","47,141","63,697","64,135","63,541","58,979","69,026"
"Butte County, California","51,645","3,320","0","444","1,122","598","265","807","84","48,325","8,123","10,193","6,582","5,846","5,472","5,248","6,861"
"Contra Costa County, California","269,358","13,902","0","2,196","2,417","4,175","3,655","1,219","240","255,456","36,103","29,853","33,506","32,670","35,412","39,882","48,030"
"El Dorado County, California","37,781","2,194","0","146","594","424","738","292","0","35,587","5,045","4,063","3,911","4,471","5,165","6,059","6,873"
"Fresno County, California","241,635","16,759","455","2,887","5,240","4,325","2,420","1,100","332","224,876","35,413","30,752","33,510","31,918","30,664","29,754","32,865"
"Humboldt County, California","32,106","1,079","0","116","328","374","224","0","37","31,027","4,293","5,851","4,735","4,135","4,031","3,649","4,333"
"Imperial County, California","41,018","2,384","0","667","1,246","248","197","0","26","38,634","6,887","5,212","4,739","5,267","4,722","5,316","6,491"
"Kern County, California","213,126","14,123","191","3,062","4,690","3,656","1,553","662","309","199,003","33,124","25,779","29,623","27,412","26,703","25,851","30,511"
"Kings County, California","33,504","2,088","0","263","1,301","270","21","233","0","31,416","5,031","4,660","4,354","4,812","4,770","3,300","4,489"
"Lake County, California","12,559","578","0","28","119","67","364","0","0","11,981","2,294","451","1,487","1,648","2,223","1,456","2,422"
"Los Angeles County, California","2,540,215","105,954","3,289","10,774","22,248","31,657","24,065","9,817","4,104","2,434,261","300,582","326,431","392,159","355,689","329,086","320,543","409,771"
"Madera County, California","38,709","1,223","0","432","484","108","134","0","65","37,486","5,817","4,840","5,174","5,673","5,270","5,039","5,673"
