"County","Total:","Male:","Male under 5","Male under 5 with disability","Male under 5 no disability","Male 5-17","Male 5-17 with disability","Male 5-17 no disability","Male 18-34","Male 18-34 with disability","Male 18-34 no disability","Male 35-64","Male 35-64 disability","Male 35-64 no disability","Male 65-74","Male 65-74 disability","Male 65-74 no disability","Male 75+","Male 75+ with disability","Male 75+ no disability","Female:","Female under5","Female under 5 disability","Female under 5 no disability","Female 5-17","Female 5-17 disability","Female 5-17 no disability","Female 18-34","Female 18-34 disability","Female 18-34 no disability","Female 35-64","Female 35-64 disability","Female 34-65 no disability","Female 65-74","Female 65-74 disability","Female 65-74 no disability","Female 75+","Female 75+ disability","Female 75+ no disability"
"Alameda County, California","1,661,492","818,763","48,585","338","48,247","125,554","6,269","119,285","206,901","8,689","198,212","334,984","18,954","316,030","63,792","13,769","50,023","38,947","16,797","22,150","842,729","45,758","377","45,381","119,883","2,885","116,998","205,353","7,357","197,996","339,960","26,154","313,806","75,675","14,663","61,012","56,100","27,982","28,118"
"Butte County, California","217,007","107,446","6,249","300","5,949","16,351","1,801","14,550","30,125","3,453","26,672","36,473","6,254","30,219","11,520","4,278","7,242","6,728","3,244","3,484","109,561","5,732","0","5,732","16,039","723","15,316","29,227","3,163","26,064","37,038","7,321","29,717","12,694","3,148","9,546","8,831","4,452","4,379"
"Contra Costa County, California","1,148,991","561,041","32,960","490","32,470","98,670","5,703","92,967","119,815","10,374","109,441","227,993","20,598","207,395","49,800","10,618","39,182","31,803","12,783","19,020","587,950","31,251","0","31,251","96,236","2,936","93,300","117,737","7,932","109,805","240,049","22,010","218,039","58,521","10,659","47,862","44,156","18,560","25,596"
"El Dorado County, California","191,502","94,672","4,842","0","4,842","14,276","679","13,597","16,800","1,925","14,875","38,321","3,276","35,045","12,807","2,990","9,817","7,626","4,248","3,378","96,830","4,202","0","4,202","14,984","335","14,649","14,921","1,813","13,108","41,271","3,587","37,684","12,485","1,888","10,597","8,967","4,924","4,043"
"Fresno County, California","987,054","490,022","38,592","298","38,294","105,057","5,466","99,591","123,691","8,639","115,052","166,894","24,947","141,947","34,688","9,880","24,808","21,100","11,049","10,051","497,032","36,539","137","36,402","100,969","4,699","96,270","121,745","8,743","113,002","170,448","27,571","142,877","38,693","12,179","26,514","28,638","17,807","10,831"
"Humboldt County, California","134,571","65,599","3,280","0","3,280","9,429","598","8,831","17,124","2,151","14,973","24,834","3,301","21,533","7,147","1,959","5,188","3,785","2,687","1,098","68,972","3,526","115","3,411","9,310","657","8,653","17,796","1,635","16,161","24,436","4,880","19,556","8,459","2,752","5,707","5,445","3,112","2,333"
"Imperial County, California","170,646","82,623","7,288","0","7,288","18,919","2,570","16,349","19,268","905","18,363","26,481","3,368","23,113","6,238","2,385","3,853","4,429","1,421","3,008","88,023","7,187","111","7,076","18,177","675","17,502","20,017","2,030","17,987","29,684","4,228","25,456","7,019","3,172","3,847","5,939","3,718","2,221"
"Kern County, California","873,613","435,676","34,167","69","34,098","96,599","4,564","92,035","111,421","8,512","102,909","147,381","17,035","130,346","28,842","8,648","20,194","17,266","7,980","9,286","437,937","33,934","124","33,810","93,989","2,570","91,419","106,352","4,882","101,470","149,786","19,034","130,752","33,195","11,757","21,438","20,681","10,938","9,743"
"Kings County, California","134,342","66,380","6,269","50","6,219","14,020","1,370","12,650","17,778","1,429","16,349","20,992","2,991","18,001","4,632","1,245","3,387","2,689","1,320","1,369","67,962","6,212","420","5,792","14,814","277","14,537","16,912","1,739","15,173","21,762","2,847","18,915","4,633","1,431","3,202","3,629","2,104","1,525"
"Lake County, California","63,700","31,064","1,531","54","1,477","4,860","831","4,029","6,177","643","5,534","11,829","2,613","9,216","4,151","2,037","2,114","2,516","1,410","1,106","32,636","2,049","0","2,049","4,964","0","4,964","5,150","186","4,964","12,963","2,008","10,955","4,934","1,108","3,826","2,576","1,280","1,296"
