"Label","Total:","Males","Males under 6","Males under 6 with health insurance coverage","...6","Males 6-18","Males 6-18 with health insurance coverage","Males 6-18 no health insurance coverage","Males 19-25","Males 19-25 with health insurance coverage","Males 19-25 with No health insurance coverage","Males 26-34","Males 26-34 with health insurance coverage","Males 26-34 with no health insurance coverage","Males 35-44","Males 35-44 with health insurance coverage","Males 35-44 with no health insurance coverage","Males 45-54","Males 45-54  with health insurance coverage","Males 45-54  with No health insurance coverage","Males 55-62","Males 55-62 With health insurance coverage","Males 55-62 No health insurance coverage","Males 65-74","Males 65-74 with health insurance coverage","Males 65-74 with No health insurance coverage","Males 75+","Males 75+ With health insurance coverage","Males 75+ No health insurance coverage","Females","Females under 6","Females under 6 with health insurance coverage","Females under 6 no health insurance coverage","Females 6-18","Females 6-18 With health insurance coverage","Females 6-18 with No health insurance coverage","Females 19-25","Females 19-25 with health insurance coverage","Females 19-25 no health insurance coverage","Females 26-34","Females 26-34 with health insurance coverage","Females 26-34 with No health insurance coverage","Females 35-44","Females 35-44 with health insurance coverage","Females 35-44 no health insurance coverage","Females 45-54","Females 45-54 with health insurance coverage","Females 45-54 no health insurance coverage","Females 55-64","Females 55-64 with health insurance coverage","Females 55-64 no health insurance coverage","Females 65-74","Females 65-74 with health insurance coverage","Females 65-74 no health insurance coverage","Females 75+","Females 75+ With health insurance coverage","Females 75+ No health insurance coverage"
"Alameda County, California","1,661,492","818,763","58,129","57,190","939","126,198","123,279","2,919","70,628","64,852","5,776","126,085","118,937","7,148","127,509","121,166","6,343","109,176","104,687","4,489","98,299","94,400","3,899","63,792","63,294","498","38,947","38,657","290","842,729","54,631","53,612","1,019","122,695","119,162","3,533","68,879","64,881","3,998","124,789","119,495","5,294","127,229","121,255","5,974","109,313","104,003","5,310","103,418","99,735","3,683","75,675","74,239","1,436","56,100","55,413","687"
"Butte County, California","217,007","107,446","7,522","7,407","115","17,316","16,595","721","15,514","13,490","2,024","12,373","9,862","2,511","12,968","11,344","1,624","10,878","10,020","858","12,627","11,912","715","11,520","11,473","47","6,728","6,635","93","109,561","6,510","6,282","228","17,350","17,003","347","15,302","13,569","1,733","11,836","11,141","695","11,778","11,418","360","11,484","10,961","523","13,776","13,349","427","12,694","12,523","171","8,831","8,831","0"
"Contra Costa County, California","1,148,991","561,041","39,603","38,456","1,147","100,295","97,836","2,459","44,345","39,867","4,478","67,202","57,858","9,344","76,517","69,325","7,192","77,334","71,474","5,860","74,142","70,353","3,789","49,800","48,903","897","31,803","31,660","143","587,950","37,177","35,396","1,781","97,596","94,183","3,413","44,316","40,732","3,584","66,135","61,269","4,866","80,121","74,315","5,806","80,555","76,918","3,637","79,373","75,040","4,333","58,521","58,267","254","44,156","44,074","82"
"El Dorado County, California","191,502","94,672","6,690","6,690","0","13,131","12,639","492","7,170","6,803","367","8,927","7,677","1,250","10,745","9,608","1,137","12,164","11,740","424","15,412","14,293","1,119","12,807","12,622","185","7,626","7,626","0","96,830","5,823","5,356","467","14,238","13,625","613","5,560","4,735","825","8,486","7,732","754","12,041","11,197","844","12,244","11,612","632","16,986","16,573","413","12,485","12,433","52","8,967","8,967","0"
"Fresno County, California","987,054","490,022","46,301","45,364","937","104,823","100,181","4,642","48,545","41,239","7,306","67,671","54,068","13,603","63,797","54,569","9,228","53,388","45,136","8,252","49,709","46,378","3,331","34,688","34,365","323","21,100","20,895","205","497,032","42,884","42,060","824","102,286","97,665","4,621","46,940","41,580","5,360","67,143","61,090","6,053","63,718","57,141","6,577","53,318","47,094","6,224","53,412","49,359","4,053","38,693","38,289","404","28,638","28,051","587"
"Humboldt County, California","134,571","65,599","4,050","3,726","324","10,014","9,704","310","7,955","6,941","1,014","7,814","6,463","1,351","9,258","8,189","1,069","7,469","6,609","860","8,107","7,431","676","7,147","7,125","22","3,785","3,785","0","68,972","4,328","4,328","0","10,135","9,468","667","7,489","6,942","547","8,680","7,270","1,410","7,904","7,582","322","7,434","6,957","477","9,098","8,069","1,029","8,459","8,459","0","5,445","5,445","0"
"Imperial County, California","170,646","82,623","8,921","8,789","132","19,131","18,123","1,008","7,018","6,179","839","10,405","8,548","1,857","8,930","7,828","1,102","8,324","7,465","859","9,227","7,786","1,441","6,238","6,238","0","4,429","4,429","0","88,023","8,788","8,378","410","17,474","17,098","376","9,125","8,347","778","9,994","7,886","2,108","10,112","9,560","552","9,923","8,361","1,562","9,649","8,715","934","7,019","6,836","183","5,939","5,939","0"
"Kern County, California","873,613","435,676","42,730","41,507","1,223","94,932","91,962","2,970","44,721","37,317","7,404","59,804","50,207","9,597","55,117","48,363","6,754","47,080","40,571","6,509","45,184","40,503","4,681","28,842","28,294","548","17,266","17,191","75","437,937","41,276","40,610","666","94,292","91,174","3,118","39,291","35,792","3,499","59,416","53,509","5,907","54,705","49,730","4,975","48,443","41,062","7,381","46,638","42,636","4,002","33,195","32,985","210","20,681","20,645","36"
"Kings County, California","134,342","66,380","7,075","6,951","124","14,282","14,196","86","7,254","5,786","1,468","9,456","7,733","1,723","7,847","6,813","1,034","7,025","6,506","519","6,120","5,906","214","4,632","4,632","0","2,689","2,609","80","67,962","6,929","6,895","34","15,122","14,088","1,034","6,773","5,684","1,089","9,114","7,953","1,161","8,224","7,552","672","6,921","6,026","895","6,617","6,070","547","4,633","4,608","25","3,629","3,285","344"
"Lake County, California","63,700","31,064","2,202","2,190","12","4,889","4,852","37","1,293","1,092","201","4,184","3,469","715","3,536","3,241","295","3,746","3,345","401","4,547","3,963","584","4,151","4,151","0","2,516","2,516","0","32,636","2,060","2,049","11","5,366","5,197","169","1,704","1,607","97","3,033","2,642","391","4,015","3,827","188","3,319","3,309","10","5,629","5,149","480","4,934","4,934","0","2,576","2,576","0"
