"County","Total:","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households:","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In married-couple family","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In male householder, no spouse present, family","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In female householder, no spouse present, family","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: in nonfamily households","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households:","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In married-couple family","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In male householder, no spouse present, family","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In female householder, no spouse present, family","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In nonfamily households"
"Alameda County, California","338,971","45,067","44,472","17,432","1,865","25,175","595","293,904","291,757","237,008","19,151","35,598","2,147"
"Butte County, California","44,213","8,929","8,447","4,502","640","3,305","482","35,284","34,899","27,183","3,419","4,297","385"
"Contra Costa County, California","258,997","35,892","35,572","16,850","2,847","15,875","320","223,105","221,621","175,355","14,393","31,873","1,484"
"El Dorado County, California","38,304","3,832","3,832","1,615","68","2,149","0","34,472","34,472","26,240","2,363","5,869","0"
"Fresno County, California","281,078","104,147","103,042","40,762","8,757","53,523","1,105","176,931","176,638","121,965","20,419","34,254","293"
"Humboldt County, California","25,437","5,331","5,297","2,343","980","1,974","34","20,106","19,991","15,225","2,134","2,632","115"
"Imperial County, California","51,571","23,304","23,304","10,599","747","11,958","0","28,267","28,122","20,033","2,574","5,515","145"
"Kern County, California","258,604","86,222","85,565","42,141","6,582","36,842","657","172,382","170,647","117,303","17,310","36,034","1,735"
"Kings County, California","41,315","11,465","11,399","4,207","1,705","5,487","66","29,850","29,850","20,847","2,536","6,467","0"
"Lake County, California","13,404","4,674","4,674","724","1,771","2,179","0","8,730","8,730","5,342","1,288","2,100","0"
"Los Angeles County, California","2,139,585","521,127","518,639","240,785","60,691","217,163","2,488","1,618,458","1,608,311","1,136,729","160,231","311,351","10,147"
"Madera County, California","43,005","19,349","19,284","9,224","3,907","6,153","65","23,656","23,656","16,895","2,074","4,687","0"
"Marin County, California","51,387","4,462","4,462","2,868","88","1,506","0","46,925","46,670","37,226","3,110","6,334","255"
"Mendocino County, California","18,195","2,424","2,424","801","587","1,036","0","15,771","15,748","9,902","373","5,473","23"
"Merced County, California","80,562","27,582","27,422","8,920","2,147","16,355","160","52,980","52,833","40,202","5,921","6,710","147"
"Monterey County, California","113,032","24,833","24,072","12,412","3,961","7,699","761","88,199","87,647","61,651","7,269","18,727","552"
"Napa County, California","27,760","2,230","2,230","1,196","157","877","0","25,530","25,391","20,057","1,561","3,773","139"
"Nevada County, California","16,752","1,915","1,915","179","999","737","0","14,837","14,837","12,090","625","2,122","0"
"Orange County, California","688,625","92,296","91,510","52,747","8,717","30,046","786","596,329","593,656","472,011","36,829","84,816","2,673"
"Placer County, California","88,085","9,258","9,157","3,447","99","5,611","101","78,827","78,552","65,687","4,441","8,424","275"
"Riverside County, California","612,860","113,835","113,483","52,638","12,690","48,155","352","499,025","496,515","374,043","41,874","80,598","2,510"
"Sacramento County, California","362,094","90,122","89,545","43,739","9,403","36,403","577","271,972","270,345","192,525","23,664","54,156","1,627"
"San Bernardino County, California","568,866","161,373","160,340","76,748","16,457","67,135","1,033","407,493","405,938","301,936","32,131","71,871","1,555"
"San Diego County, California","712,513","113,529","112,584","61,525","7,687","43,372","945","598,984","595,369","452,293","46,505","96,571","3,615"
